City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,32,AU,1516461885,54,-33.21,138.6,76.81,5.23
1,bluff,88,AU,1516461795,51,-23.58,149.07,76.68,11.54
2,mkushi,48,ZM,1516462372,80,-13.61,29.4,73.48,3.38
3,nikolskoye,90,RU,1516460400,85,59.7,30.79,19.4,4.47
4,atuona,64,PF,1516462373,100,-9.8,-139.03,77.08,15.97
5,takhtamygda,0,RU,1516462375,29,54.1,123.57,-20.62,6.73
6,karratha,8,AU,1516461934,68,-20.74,116.85,82.44,8.37
7,kapaa,90,US,1516460160,94,22.08,-159.32,73.4,17.22
8,mataura,0,NZ,1516461810,94,-46.19,168.86,48.33,3.0
9,sao filipe,20,CV,1516461785,92,14.9,-24.5,72.36,17.36
10,kavieng,36,PG,1516461836,100,-2.57,150.8,82.39,6.35
11,saldanha,36,PT,1516461856,64,41.42,-6.55,55.12,9.53
12,linxia,64,CN,1516462377,75,35.6,103.21,14.35,2.33
13,ponta do sol,0,BR,1516461949,50,-20.63,-46.0,86.98,8.14
14,punta arenas,40,CL,1516456800,47,-53.16,-70.91,55.4,18.34
15,coahuayana,0,MX,1516461837,59,18.62,-100.35,62.46,2.04
16,souillac,90,FR,1516460400,93,45.6,-0.6,55.4,24.16
17,maniitsoq,8,GL,1516462002,100,65.42,-52.9,11.74,14.07
18,ushuaia,75,AR,1516456800,61,-54.81,-68.31,53.6,25.28
19,albany,75,US,1516460040,59,42.65,-73.75,39.2,4.7
20,nouakchott,20,MR,1516462378,79,18.08,-15.98,70.06,10.6
21,ossett,20,GB,1516461600,86,53.68,-1.58,39.2,6.93
22,nikolayevka,80,RU,1516462380,88,46.73,38.57,35.14,12.62
23,sangar,48,RU,1516462005,97,63.92,127.47,-41.99,3.71
24,castro,76,CL,1516461842,75,-42.48,-73.76,67.45,7.07
25,caraballeda,20,VE,1516460400,70,10.61,-66.85,84.2,6.93
26,bredasdorp,92,ZA,1516460400,83,-34.53,20.04,71.6,18.34
27,hermanus,64,ZA,1516461842,79,-34.42,19.24,71.95,10.83
28,katsuura,20,JP,1516461848,95,33.93,134.5,37.89,4.23
29,beringovskiy,12,RU,1516461910,100,63.05,179.32,8.05,7.02
30,lazaro cardenas,5,MX,1516459440,76,28.39,-105.62,32.0,4.7
31,east london,75,ZA,1516460400,83,-33.02,27.91,77.0,9.17
32,rikitea,76,PF,1516461791,100,-23.12,-134.97,78.88,6.91
33,kavaratti,0,IN,1516461854,100,10.57,72.64,83.29,3.83
34,saint-philippe,90,CA,1516460400,69,45.36,-73.48,37.4,26.4
35,kahului,1,US,1516460160,100,20.89,-156.47,66.2,6.93
36,sao joao da barra,0,BR,1516460400,49,-21.64,-41.05,91.4,9.17
37,joseni,92,RO,1516462385,94,46.7,25.51,28.26,0.54
38,georgetown,75,GY,1516460400,74,6.8,-58.16,82.4,9.17
39,cape town,20,ZA,1516460400,51,-33.93,18.42,86.0,21.92
40,new norfolk,75,AU,1516460400,87,-42.78,147.06,60.8,2.24
41,wellington,8,NZ,1516460400,82,-41.29,174.78,68.0,13.87
42,busselton,0,AU,1516461817,97,-33.64,115.35,71.64,20.83
43,koumra,0,TD,1516462388,15,8.92,17.55,93.51,4.56
44,saint george,20,GR,1516459800,71,39.45,22.34,57.2,5.91
45,esperance,40,TT,1516460400,83,10.24,-61.45,80.6,13.87
46,hobart,75,AU,1516460400,87,-42.88,147.33,60.8,2.24
47,ribeira grande,75,PT,1516460400,82,38.52,-28.7,64.4,17.22
48,pevek,0,RU,1516462072,100,69.7,170.27,-32.77,4.5
49,sioux lookout,90,CA,1516460400,85,50.1,-91.92,21.2,2.33
50,tromso,0,NO,1516461600,62,69.65,18.96,19.4,12.75
51,sawakin,0,SD,1516456800,53,19.1,37.33,77.0,14.99
52,odienne,0,CI,1516462390,23,9.51,-7.57,91.98,12.44
53,cabo san lucas,40,MX,1516459800,63,22.89,-109.91,62.6,6.93
54,mar del plata,48,AR,1516462014,41,-46.43,-67.52,73.26,12.1
55,caravelas,0,BR,1516462096,100,-17.73,-39.27,80.64,13.56
56,port alfred,64,ZA,1516461868,81,-33.59,26.89,77.13,12.66
57,ostrovnoy,0,RU,1516462391,89,68.05,39.51,7.96,13.67
58,gayeri,0,BF,1516462392,20,12.65,0.49,92.47,8.14
59,jingdezhen,92,CN,1516462393,97,29.29,117.2,46.44,3.56
60,kurumkan,0,RU,1516462393,0,54.33,110.32,-46.4,1.81
61,avarua,90,CK,1516460400,83,-21.21,-159.78,80.6,12.75
62,sao lourenco do sul,0,BR,1516460400,33,-31.37,-51.98,87.8,8.05
63,kodiak,90,US,1516456380,100,39.95,-94.76,39.2,4.7
64,bardsir,0,IR,1516460400,17,29.93,56.57,51.8,18.34
65,atikokan,88,CA,1516462396,90,48.76,-91.62,29.47,5.35
66,arraial do cabo,20,BR,1516460400,59,-22.97,-42.02,91.4,6.93
67,qaanaaq,0,GL,1516461943,90,77.48,-69.36,0.94,15.68
68,aleksandrovsk-sakhalinskiy,32,RU,1516462398,100,50.9,142.16,-5.5,8.25
69,portland,75,US,1516460160,87,45.52,-122.67,44.6,10.29
70,khandyga,8,RU,1516462042,0,62.65,135.58,-53.33,2.48
71,sherman,40,US,1516461300,82,33.64,-96.61,57.2,14.99
72,saint-augustin,90,FR,1516460400,93,44.83,-0.61,55.4,26.4
73,sarmanovo,90,RU,1516460400,83,55.25,52.59,-4.01,17.9
74,aklavik,75,CA,1516460400,69,68.22,-135.01,-7.61,11.41
